Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
Cafe Cassia & Deli,"Continental, Thai, Beverages, Coffee",1000," Ulsoor, Bangalore",4,12.98121329,77.61292309
Saapad Raman,"South Indian, Biryani, Andhra",400," Kammanahalli, Bangalore",4,13.01417134,77.64083315
Namdhari's Salad Bar,"Salad, Fast Food",400," Indiranagar, Bangalore",4,12.97020463,77.64072418
Gokul Veg,"North Indian, Chinese, Beverages",750," Basavanagudi, Bangalore",4,12.94397922,77.57112287
Blue Bar - The Taj West End,Continental,2500," The Taj West End, Race Course Road, Bangalore",4,12.98411052,77.58396629
Kalingas,"North Indian, Odia, South Indian",300," BTM, Bangalore",4,12.90742195,77.61096474
Fresh Pressery Cafe,"Cafe, Healthy Food, Desserts, Fast Food",1200," Koramangala 5th Block, Bangalore",4,12.93560659,77.62122486
BG's Poolside Bar & Grill,"Mediterranean, Italian, Mexican, Fast Food, Desserts",1800," Courtyard & Fairfield by Marriott, Bangalore",4,12.92828297,77.68216699
Peacock,"North Indian, BBQ, Mughlai",1400," Indiranagar, Bangalore",4,12.97506359,77.64113892
Erivum Puliyum,"Kerala, North Indian, Chinese, Mughlai, Fast Food, Biryani",600," Brookefield, Bangalore",4,12.96362076,77.70984672
Karavali Lunch Home,"Seafood, Mangalorean",300," Malleshwaram, Bangalore",4,12.99852787,77.56981563
Citrus Cafe - Lemon Tree Hotel,"North Indian, Continental, Chinese, Seafood",2000," Lemon Tree Hotel Electronic City, Bangalore",4,12.8406469,77.65967231
Davanagere Benne Dose,"South Indian, Desserts",150," HSR, Bangalore",4,12.91236514,77.63437573
WelcomCafe Jacaranda - WelcomHotel By ITC Hotels,"Asian, Continental, North Indian",2000," WelcomHotel By ITC Hotels, Richmond Road, Bangalore",4,12.96878534,77.61437148
Chichaba's Taj,"North Indian, Chinese, Desserts",800," Frazer Town, Bangalore",4,13.00030862,77.61734437
Grubbery,"Salad, Steak, Fast Food, Pizza, Burger, Pasta, Sandwich, Beverages",700," New BEL Road, Bangalore",4,13.0301323,77.57080335
Rajvardhan Foods,"Street Food, Maharashtrian",300," Jayanagar, Bangalore",4,12.91818731,77.59259798
Oregano Soul Food,Cafe,700," Whitefield, Bangalore",4,12.98051479,77.71204647
Divina - Eden Park Restaurants,"Bakery, Desserts",200," Eden Park Restaurants, Bangalore",4,12.92283455,77.58478303
Mizo Kitchen,"North Eastern, Chinese",400," Koramangala 5th Block, Bangalore",4,12.93306433,77.62310207
Kamat's Palate Korner,"North Indian, Chinese, Seafood, Fast Food, Kebab, Mughlai, Beverages",700," Richmond Road, Bangalore",4,12.96794468,77.59140909
Mane Ruchi's Palate Restaurant,"North Indian, Chinese, Beverages, Desserts, Fast Food",650," Nagarbhavi, Bangalore",4,12.95795028,77.51864947
Chill-Um Cafe,"Cafe, Fast Food, Chinese, Desserts, Beverages",600," Koramangala 6th Block, Bangalore",4,12.93634541,77.62553886
Sree Renukambha Bidadi Thatte Idli,South Indian,100," Mysore Road, Bangalore",4,12.79671277,77.38357041
Gorilla Barfare,"Continental, Pizza, Burger",1400," Koramangala 6th Block, Bangalore",4,12.94100343,77.62447737
Cilantro,"European, American, Continental, North Indian, Steak",1500," Koramangala 4th Block, Bangalore",4,12.93620131,77.63150811
Sammaan Restaurant,"North Indian, Chinese, Continental, Biryani, Mughlai, Desserts, Beverages",1100," Hesaraghatta, Bangalore",4,13.05462999,77.50746265
Fiero! Pizzeria,Pizza,500," Koramangala 6th Block, Bangalore",4,12.93755281,77.61914983
Saaga - The Royale Senate Hotel,"North Indian, Mughlai, Chinese, Thai, Continental, Desserts, Beverages",1000," Hebbal, Bangalore",4,13.03643251,77.58945946
Karnatic,"South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean",1000," JP Nagar, Bangalore",4,12.90647389,77.58948661
